year,time_hour,latitude,longitude,temp_drop_k,interface_temp_k,sea_ice_temp_k,rainfall,skin_temp_change_k
2018,0,-55.0,-61.25,0.0634765625,277.9149475097656,273.08575439453125,1.0291114449501038e-07,-0.02246493101119995
2018,0,-55.0,-55.0,0.03668212890625,278.1493225097656,273.14825439453125,1.6354024410247803e-06,-0.01855868101119995
2018,0,-55.0,-48.75,0.0,275.0086975097656,273.14825439453125,2.1636486053466797e-05,0.010738193988800049
2018,0,-55.0,-42.5,0.005035400856286287,272.8368225097656,271.77325439453125,3.522634506225586e-05,-0.002933681011199951
2018,0,-55.0,-36.25,0.0638427734375,274.2118225097656,270.64825439453125,1.734122633934021e-06,-0.03516024351119995
2018,0,-55.0,-30.0,0.05548095703125,272.2430725097656,268.80450439453125,0.0,-0.02441805601119995
2018,0,-55.0,-23.75,0.04833984375,273.4461975097656,270.92950439453125,0.0,-0.02734774351119995
2018,0,-55.0,-17.5,0.0,274.1493225097656,273.14825439453125,1.4141201972961426e-05,0.0009725689888000488
2018,0,-55.0,-11.25,0.0,272.9930725097656,273.14825439453125,8.71419906616211e-05,0.02245694398880005
2018,0,-55.0,-5.0,0.005531311500817537,272.6805725097656,272.24200439453125,0.0,-0.003910243511199951
2018,0,-55.0,1.25,0.0151214599609375,272.0868225097656,271.52325439453125,0.0,-0.007816493511199951
2018,0,-55.0,7.5,0.0908203125,272.3368225097656,264.39825439453125,0.0,-0.02441805601119995
2018,0,-55.0,13.75,0.171875,272.8680725097656,263.86700439453125,0.0,-0.06836336851119995
2018,0,-55.0,20.0,0.139404296875,273.2118225097656,265.14825439453125,0.0,-0.09180086851119995
2018,0,-55.0,26.25,0.106201171875,273.3993225097656,266.47637939453125,0.0,-0.07129305601119995
2018,0,-55.0,32.5,0.180908203125,274.0399475097656,265.47637939453125,0.0,-0.06641024351119995
2018,0,-55.0,38.75,0.25048828125,274.4618225097656,265.92950439453125,0.0,-0.03320711851119995
2018,0,-55.0,45.0,0.174560546875,273.2118225097656,265.72637939453125,0.0,-0.04199618101119995
2018,0,-55.0,51.25,0.0858154296875,274.1961975097656,268.83575439453125,0.0,-0.04980868101119995
2018,0,-55.0,57.5,0.28173828125,274.6024475097656,266.28887939453125,0.0,-0.04101961851119995
2018,0,-55.0,63.75,0.16748046875,274.5086975097656,266.74200439453125,0.0,-0.06543368101119995
2018,0,-55.0,70.0,0.165771484375,274.6493225097656,264.69512939453125,0.0,-0.06445711851119995
2018,0,-55.0,76.25,0.18212890625,274.2274475097656,263.99200439453125,0.0,-0.04590243101119995
2018,0,-55.0,82.5,0.203125,274.1961975097656,265.19512939453125,0.0,-0.05078524351119995
2018,0,-55.0,88.75,0.135986328125,275.0555725097656,268.08575439453125,0.0,-0.05859774351119995
2018,0,-55.0,95.0,0.115234375,275.0399475097656,269.21075439453125,0.0,-0.05176180601119995
2018,0,-55.0,101.25,0.0909423828125,274.1024475097656,266.83575439453125,0.0,-0.04687899351119995
2018,0,-55.0,107.5,0.0975341796875,275.2430725097656,268.39825439453125,0.0,-0.05664461851119995
2018,0,-55.0,113.75,0.127197265625,275.2899475097656,269.27325439453125,1.9470462575554848e-08,-0.04785555601119995
2018,0,-55.0,120.0,0.097900390625,276.3368225097656,271.02325439453125,7.729977369308472e-08,-0.04101961851119995
2018,0,-55.0,126.25,0.1009521484375,276.5868225097656,270.24200439453125,5.811671144329011e-10,-0.02441805601119995
2018,0,-55.0,132.5,0.0005197529681026936,277.3055725097656,273.14825439453125,0.00034236907958984375,0.004878818988800049
2018,0,-55.0,138.75,0.025543212890625,276.5243225097656,273.14825439453125,1.594889909029007e-07,0.012691318988800049
2018,0,-55.0,145.0,0.00047779129818081856,274.5868225097656,273.14825439453125,3.7923455238342285e-06,0.02441006898880005
2018,0,-55.0,151.25,0.1109619140625,277.6493225097656,269.46075439453125,2.353917807340622e-07,-0.005863368511199951
2018,0,-55.0,157.5,0.0858154296875,278.0399475097656,273.14825439453125,4.7404319047927856e-07,-3.993511199951172e-06
2018,0,-55.0,163.75,0.1224365234375,281.4305725097656,273.14825439453125,6.794929504394531e-06,-0.02246493101119995
2018,0,-55.0,170.0,0.005699158180505037,279.7743225097656,273.14825439453125,3.409385681152344e-05,0.014644443988800049
2018,0,-55.0,176.25,0.017547607421875,280.3680725097656,273.14825439453125,4.470348358154297e-06,0.004878818988800049
2018,0,-50.0,-180.0,0.028228759765625,279.9305725097656,273.14825439453125,4.42960299551487e-08,0.04003506898880005
2018,0,-50.0,-173.75,0.163330078125,282.3133850097656,273.14825439453125,7.557900971733034e-10,-0.013675868511199951
2018,0,-50.0,-167.5,0.20458984375,283.5790100097656,273.14825439453125,3.7960708141326904e-06,-0.001957118511199951
2018,0,-50.0,-161.25,0.138916015625,280.8680725097656,273.14825439453125,2.5099143385887146e-07,-0.008793056011199951
2018,0,-50.0,-155.0,0.157470703125,282.2821350097656,273.14825439453125,5.945563316345215e-06,-0.03320711851119995
2018,0,-50.0,-148.75,0.267578125,282.5321350097656,273.14825439453125,4.032626748085022e-07,-0.06152743101119995
2018,0,-50.0,-142.5,0.18212890625,281.6415100097656,273.14825439453125,9.723007678985596e-07,-0.03906649351119995
2018,0,-50.0,-136.25,0.1015625,281.6649475097656,273.14825439453125,5.550682544708252e-06,-0.02246493101119995
2018,0,-50.0,-130.0,0.016815185546875,280.9930725097656,273.14825439453125,3.170967102050781e-05,-0.008793056011199951
