detector,chunk_index,gps_time,mean,std,min,max,peak_to_peak,rms
H1,29,1126259475,5.2687760450866806e-21,3.1748160206241333e-19,-6.200401970315636e-19,6.460325171486617e-19,1.2660727141802252e-18,3.1752531812302756e-19
H1,30,1126259476,1.992913342048067e-20,1.631169588097571e-19,-3.98262615685837e-19,4.235857955076103e-19,8.218484111934473e-19,1.6432988958261768e-19
H1,31,1126259477,-3.420881341360798e-21,1.6798981584700644e-19,-3.4453866584205926e-19,3.5655659163260127e-19,7.010952574746605e-19,1.680246430065031e-19
L1,0,1126259446,-1.8329266006604995e-18,2.771277406944459e-19,-2.488510162375152e-18,-1.2535810763307469e-18,1.2349290860444052e-18,1.8537582658133344e-18
L1,1,1126259447,-1.83575290454531e-18,2.5978575835572586e-19,-2.471134898335532e-18,-1.3205140922231245e-18,1.1506208061124076e-18,1.854043518041311e-18
L1,2,1126259448,-1.829417519820499e-18,2.500138267585747e-19,-2.4142636373527534e-18,-1.2311840476736195e-18,1.183079589679134e-18,1.8464223177259994e-18
L1,3,1126259449,-1.8338222995535455e-18,1.9544766331642022e-19,-2.297356897094835e-18,-1.3519293391769843e-18,9.454275579178509e-19,1.8442082353779096e-18
L1,4,1126259450,-1.8203646391504826e-18,2.602129953893402e-19,-2.4355730819658536e-18,-1.2944216385007287e-18,1.141151443465125e-18,1.83886873442314e-18
L1,5,1126259451,-1.829184423364773e-18,1.4720466914624342e-19,-2.2189133918787237e-18,-1.4984349805512903e-18,7.204784113274334e-19,1.835098054409838e-18
L1,6,1126259452,-1.8304703171751903e-18,1.4760120284554222e-19,-2.1552306369935097e-18,-1.4691675999043831e-18,6.860630370891266e-19,1.8364116360829596e-18
L1,7,1126259453,-1.8238273353658526e-18,1.3672249037442018e-19,-2.1410301813495795e-18,-1.4346203145643485e-18,7.06409866785231e-19,1.8289448292941724e-18
L1,8,1126259454,-1.835894116275204e-18,1.4667983271066665e-19,-2.2365417396835868e-18,-1.4521273121985471e-18,7.844144274850397e-19,1.8417443306544863e-18
L1,9,1126259455,-1.8099740210090176e-18,2.759184819649448e-19,-2.3935518028556553e-18,-1.1304992192650856e-18,1.2630525835905697e-18,1.830884203169985e-18
L1,10,1126259456,-1.840536918350604e-18,2.6378503717579883e-19,-2.510106940824142e-18,-1.1278404066252136e-18,1.3822665341989282e-18,1.8593436190358617e-18
L1,11,1126259457,-1.8206972207548756e-18,3.249008134352408e-19,-2.657879046682839e-18,-1.1263025355114852e-18,1.5315765111713539e-18,1.849459085309921e-18
L1,12,1126259458,-1.836388466362813e-18,2.3924115721994823e-19,-2.391425007838514e-18,-1.2872743889078701e-18,1.104150618930644e-18,1.8519068363981767e-18
L1,13,1126259459,-1.8307989610809957e-18,2.2556071958313466e-19,-2.449507471606073e-18,-1.299241351309449e-18,1.1502661202966242e-18,1.8446415570820567e-18
L1,14,1126259460,-1.8258158507300892e-18,1.9438507555063953e-19,-2.3634458477201386e-18,-1.339307408717974e-18,1.0241384390021645e-18,1.836134275692839e-18
L1,15,1126259461,-1.832805113611609e-18,2.8813744385042765e-19,-2.451458139494343e-18,-1.0720126319822126e-18,1.3794455075121303e-18,1.8553160838599775e-18
L1,16,1126259462,-1.8378281255282255e-18,2.473196305067939e-19,-2.4310170429965106e-18,-1.2832261783978477e-18,1.1477908645986629e-18,1.854394569291177e-18
L1,17,1126259463,-1.810737335072046e-18,3.170236431069813e-19,-2.5135859149070476e-18,-1.1736547293809098e-18,1.3399311855261379e-18,1.8382800893532623e-18
L1,18,1126259464,-1.83153186429257e-18,1.4476448332034988e-19,-2.1894611223733795e-18,-1.4586139130394114e-18,7.308472093339681e-19,1.8372440571546357e-18
L1,19,1126259465,-1.838475073868432e-18,2.5663069781770634e-19,-2.3747646113006126e-18,-1.1906270579460892e-18,1.1841375533545235e-18,1.8563000598766188e-18
L1,20,1126259466,-1.8242190021386472e-18,2.319422521200091e-19,-2.3257618969872066e-18,-1.3040562280240424e-18,1.0217056689631642e-18,1.8389051569023958e-18
L1,21,1126259467,-1.8277110454993792e-18,9.940707302224238e-20,-2.115404898322703e-18,-1.5899506358010986e-18,5.254542625216046e-19,1.8304123666560177e-18
L1,22,1126259468,-1.8309243599318163e-18,2.0165371471236996e-19,-2.357583620834947e-18,-1.1987288740507536e-18,1.1588547467841935e-18,1.8419957199866206e-18
L1,23,1126259469,-1.8147976209518736e-18,3.48762047380265e-19,-2.678808917297832e-18,-7.692661770244014e-19,1.9095427402734306e-18,1.848005782108231e-18
L1,24,1126259470,-1.8361188554559603e-18,2.7292505528536474e-19,-2.5825159306132595e-18,-1.1478708107909478e-18,1.4346451198223116e-18,1.8562921475789915e-18
L1,25,1126259471,-1.8236761542528044e-18,2.757309338604428e-19,-2.5347634849890523e-18,-1.0972511463940427e-18,1.4375123385950096e-18,1.844402955830924e-18
L1,26,1126259472,-1.8429175286967937e-18,2.9682028783386196e-19,-2.5178718921558003e-18,-1.1620642824577005e-18,1.3558076096980997e-18,1.866667431774518e-18
L1,27,1126259473,-1.823777453738469e-18,1.626423589864706e-19,-2.2200379208768826e-18,-1.3437921438207773e-18,8.762457770561054e-19,1.831015220499671e-18
L1,28,1126259474,-1.8347718788445684e-18,3.270389371653659e-19,-2.4817759997297723e-18,-1.1536594624081987e-18,1.3281165373215736e-18,1.863690509129957e-18
L1,29,1126259475,-1.8231305220398378e-18,3.6771734936761956e-19,-2.5540196924043166e-18,-1.084067956303154e-18,1.4699517361011627e-18,1.859844334727829e-18
L1,30,1126259476,-1.8195567406978414e-18,1.9706802040353934e-19,-2.4355065942193307e-18,-1.2404190758679452e-18,1.1950875183513855e-18,1.8301974039115897e-18
L1,31,1126259477,-1.829789471692491e-18,1.4206458218086077e-19,-2.185760045377706e-18,-1.4719910519043207e-18,7.137689934733854e-19,1.835296122217586e-18
